i_config,souris,Idx_souris,n_pixels,lissage_sigma,use_dff,use_global_regression,nRunTrain,n_regions,min_region_size,median_region_size,max_region_size,pVar_final,chi2_final,pVar_max,chi2_min,runtime_sec,status,error
139,M410-6,2,50,2,True,True,100,760,14,50.0,84,0.7462119308166297,0.72080674370783,0.7462119308166297,0.72080674370783,580.197870016098,success,
140,M410-6,2,50,3,False,False,100,760,14,50.0,84,0.8189386307793959,0.8974499491703553,0.8189386307793959,0.8974499491703553,605.6961829662323,success,
141,M410-6,2,50,3,False,True,100,760,14,50.0,84,0.8459827952775683,0.6664205314675802,0.8459827952775683,0.6664205314675802,585.697432756424,success,
142,M410-6,2,50,3,True,False,100,760,14,50.0,84,0.8543231771551517,0.44425050731170324,0.8543231771551517,0.44425050731170324,559.5906240940094,success,
143,M410-6,2,50,3,True,True,100,760,14,50.0,84,0.8484552637472581,0.48730321931695003,0.8484552637472581,0.48730321931695003,567.5961682796478,success,
144,M410-6,2,100,0,False,False,100,381,46,99.0,148,0.1169239901290895,4.289054666709197,0.21684005752910118,4.1039216547799695,165.60819387435913,success,
145,M410-6,2,100,0,False,True,100,381,46,99.0,148,0.30317969322234684,4.093655455180987,0.30317969322234684,4.093655455180987,165.65504002571106,success,
146,M410-6,2,100,0,True,False,100,381,46,99.0,148,0.15602493275825835,3.7422293430855667,0.15602493275825835,3.7422293430855667,167.17069005966187,success,
147,M410-6,2,100,0,True,True,100,381,46,99.0,148,0.3025902471055173,3.646864161083441,0.3025902471055173,3.646864161083441,171.3765058517456,success,
148,M410-6,2,100,1,False,False,100,381,46,99.0,148,0.3246559507438085,3.2401039661658335,0.3246559507438085,3.2401039661658335,173.30598616600037,success,
149,M410-6,2,100,1,False,True,100,381,46,99.0,148,0.34388151190135596,4.132309923165111,0.34388151190135596,4.132309923165111,173.2584822177887,success,
150,M410-6,2,100,1,True,False,100,381,46,99.0,148,0.3658613822854714,2.523376304585337,0.37533335877146845,2.424463446444194,169.32138395309448,success,
151,M410-6,2,100,1,True,True,100,381,46,99.0,148,0.39401990524933184,3.181980642204486,0.39401990524933184,3.181980642204486,169.03451681137085,success,
152,M410-6,2,100,2,False,False,100,381,46,99.0,148,0.5277079468560699,2.563883145595817,0.5277079468560699,2.563883145595817,168.58680701255798,success,
153,M410-6,2,100,2,False,True,100,381,46,99.0,148,0.47847427059421244,3.5049976106189016,0.4886502382446908,3.4113766101572645,169.21501517295837,success,
154,M410-6,2,100,2,True,False,100,381,46,99.0,148,0.5441102830507037,1.7685306129860368,0.5441102830507037,1.7685306129860368,171.00034976005554,success,
